,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
129,1304062.0,Tabatinga,13.0,AM,443.68392857142857,469.9850393700787,475.46062992125985,444.19910714285714,503.62204724409446
130,1304104.0,Tapauá,13.0,AM,449.36315789473684,468.5722222222222,470.7388888888888,449.66842105263163,598.8888888888889
131,1304203.0,Tefé,13.0,AM,451.5289215686274,476.5,476.5533980582524,453.57598039215685,544.1747572815534
132,1304237.0,Tonantins,13.0,AM,419.00625,429.1283582089552,439.80149253731344,416.4734375,435.2238805970149
133,1304260.0,Uarini,13.0,AM,413.31714285714287,445.96785714285716,441.70714285714286,387.12285714285713,389.2857142857143
134,1304302.0,Urucará,13.0,AM,432.0,439.99468085106383,435.3808510638298,430.4747126436782,454.8936170212766
135,1304401.0,Urucurituba,13.0,AM,404.6844155844156,433.36,426.59,410.13766233766233,425.42857142857144
136,1400027.0,Amajari,14.0,RR,474.5777777777778,480.09090909090907,497.45454545454544,463.18888888888887,458.1818181818182
137,1400050.0,Alto Alegre,14.0,RR,468.66896551724136,477.3142857142857,479.75714285714287,446.42413793103447,397.14285714285717
138,1400100.0,Boa Vista,14.0,RR,495.33688293370943,521.755562958028,520.3128580946036,533.297461212976,603.8241172551632
139,1400159.0,Bonfim,14.0,RR,395.02,463.59999999999997,434.9142857142857,410.93999999999994,462.85714285714283
140,1400175.0,Cantá,14.0,RR,440.34999999999997,488.09333333333336,491.62666666666667,451.5214285714286,494.6666666666667
141,1400209.0,Caracaraí,14.0,RR,478.2904761904762,500.3960784313726,500.1627450980392,495.7690476190476,618.4313725490196
142,1400233.0,Caroebe,14.0,RR,423.86,472.91999999999996,466.18,427.68,592.0
143,1400282.0,Iracema,14.0,RR,493.025,543.9,514.125,512.2,530.0
144,1400308.0,Mucajaí,14.0,RR,473.43333333333334,492.28,492.12666666666667,488.5,444.0
145,1400407.0,Normandia,14.0,RR,405.3363636363636,441.47272727272724,442.75454545454545,417.8818181818182,405.45454545454544
146,1400456.0,Pacaraima,14.0,RR,446.06,475.0296296296296,487.56666666666666,485.04400000000004,476.2962962962963
147,1400472.0,Rorainópolis,14.0,RR,480.90769230769234,517.2571428571429,496.4571428571429,484.75384615384615,558.5714285714286
148,1400506.0,São João da Baliza,14.0,RR,418.38,416.73333333333335,434.56666666666666,469.78000000000003,460.0
149,1400605.0,São Luiz,14.0,RR,439.4166666666667,493.2166666666667,481.23333333333335,487.95,463.3333333333333
150,1400704.0,Uiramutã,14.0,RR,386.5,346.6,386.29999999999995,376.05,260.0
151,1500107.0,Abaetetuba,15.0,PA,481.96212534059947,500.22410119840214,493.302396804261,504.2408719346049,630.3861517976032
152,1500131.0,Abel Figueiredo,15.0,PA,426.8333333333333,397.8,441.4333333333334,457.0333333333333,600.0
153,1500206.0,Acará,15.0,PA,460.98947368421057,484.8431034482759,470.63965517241377,453.14122807017543,567.9310344827586
154,1500305.0,Afuá,15.0,PA,448.80270270270273,483.74054054054056,477.49729729729734,473.4486486486486,623.7837837837837
155,1500347.0,Água Azul do Norte,15.0,PA,440.9607142857143,476.47499999999997,475.90000000000003,468.5642857142857,467.85714285714283
156,1500404.0,Alenquer,15.0,PA,441.2566929133858,454.27101449275364,449.7217391304348,440.0897637795276,501.30434782608694
157,1500503.0,Almeirim,15.0,PA,467.16,479.7090909090909,474.18545454545455,464.43,556.0
158,1500602.0,Altamira,15.0,PA,480.3096118299446,504.9877876106194,499.75433628318586,511.64306839186696,641.7699115044247
159,1500701.0,Anajás,15.0,PA,444.9344827586207,475.75757575757575,471.44242424242424,444.4793103448276,483.030303030303
160,1500800.0,Ananindeua,15.0,PA,485.837156157427,515.6864587607714,508.39224456298723,514.1302158273381,636.4710709889208
161,1500859.0,Anapu,15.0,PA,456.5081081081081,475.0410256410256,474.98461538461544,472.5297297297297,508.71794871794873
162,1500909.0,Augusto Corrêa,15.0,PA,459.3492063492063,473.9515625,470.0765625,455.34761904761905,548.125
163,1500958.0,Aurora do Pará,15.0,PA,444.9140625,464.6045454545455,466.9863636363636,468.10625,585.7575757575758
164,1501006.0,Aveiro,15.0,PA,430.90000000000003,446.11428571428576,427.4714285714286,450.9714285714286,500.0
165,1501105.0,Bagre,15.0,PA,412.359375,442.45625,434.86875,421.9875,571.875
166,1501204.0,Baião,15.0,PA,449.66075949367087,486.66375,469.5375,461.09746835443036,591.25
167,1501253.0,Bannach,15.0,PA,436.93333333333334,467.25,469.40000000000003,371.8,550.0
168,1501303.0,Barcarena,15.0,PA,478.3211594202898,502.61197771587746,494.8632311977716,493.5385507246377,619.6100278551532
169,1501402.0,Belém,15.0,PA,500.17133537478367,531.5001043705153,521.241787345075,539.9806816668886,683.2276581865623
170,1501451.0,Belterra,15.0,PA,454.2147058823529,474.79189189189185,464.58378378378376,455.43823529411765,629.1891891891892
171,1501501.0,Benevides,15.0,PA,480.4164658634538,507.272480620155,493.36007751937984,493.87871485943776,597.3643410852713
172,1501576.0,Bom Jesus do Tocantins,15.0,PA,448.97272727272724,477.76304347826084,467.7326086956522,448.2886363636364,570.8695652173913
